dataset,method,timeSlice,GT_predict,true
SuperBoring,nltk_0.60,33,29.3596059113%,11.1111111111%
SuperBoring,nltk_0.60,34,29.388942774%,31.25%
SuperBoring,nltk_0.60,35,29.4336118849%,43.4782608696%
SuperBoring,nltk_0.60,36,29.2321924144%,0.0%
SuperBoring,nltk_0.60,37,28.9256198347%,0.0%
SuperBoring,nltk_0.60,38,28.5714285714%,0.0%
SuperBoring,nltk_0.60,39,28.2628262826%,16.6666666667%
SuperBoring,nltk_0.60,40,27.8966131907%,9.09090909091%
SuperBoring,nltk_0.60,41,27.4320771253%,10.5263157895%
SuperBoring,nltk_0.60,42,27.2410791993%,25.0%
SuperBoring,nltk_0.60,43,27.1786022433%,30.0%
SuperBoring,nltk_0.60,44,27.0316509837%,10.0%
SuperBoring,nltk_0.60,45,26.8542199488%,0.0%
SuperBoring,nltk_0.80,1,100.0%,100.0%
SuperBoring,nltk_0.80,2,86.6666666667%,75.0%
SuperBoring,nltk_0.80,3,72.7272727273%,71.4285714286%
SuperBoring,nltk_0.80,4,77.1428571429%,92.3076923077%
SuperBoring,nltk_0.80,5,59.6330275229%,74.3243243243%
SuperBoring,nltk_0.80,6,57.0422535211%,66.6666666667%
SuperBoring,nltk_0.80,7,54.9668874172%,55.5555555556%
SuperBoring,nltk_0.80,8,53.6585365854%,61.5384615385%
SuperBoring,nltk_0.80,9,53.3707865169%,64.2857142857%
SuperBoring,nltk_0.80,10,50.5050505051%,40.0%
SuperBoring,nltk_0.80,11,46.7741935484%,55.3571428571%
SuperBoring,nltk_0.80,12,44.6991404011%,48.7179487179%
SuperBoring,nltk_0.80,13,44.0111420613%,50.0%
SuperBoring,nltk_0.80,14,42.2566371681%,51.6129032258%
SuperBoring,nltk_0.80,15,40.7920792079%,47.1698113208%
SuperBoring,nltk_0.80,16,38.0029806259%,45.7831325301%
SuperBoring,nltk_0.80,17,37.610619469%,42.8571428571%
SuperBoring,nltk_0.80,18,37.0101596517%,27.2727272727%
SuperBoring,nltk_0.80,19,37.1428571429%,54.5454545455%
SuperBoring,nltk_0.80,20,36.7605633803%,20.0%
SuperBoring,nltk_0.80,21,35.3459119497%,40.0%
SuperBoring,nltk_0.80,22,35.1485148515%,23.0769230769%
SuperBoring,nltk_0.80,23,34.6246973366%,27.7777777778%
SuperBoring,nltk_0.80,24,33.1096196868%,30.8823529412%
SuperBoring,nltk_0.80,25,32.7453142227%,23.0769230769%
