dataset,method,timeSlice,GT_predict,TRUE
SuperBoring,nltk_0.80,43,0.29,0.30
SuperBoring,nltk_0.80,44,0.29,0.10
SuperBoring,nltk_0.80,45,0.29,0.00
SuperBoring,word2vec_0.20,1,0.18,0.36
SuperBoring,word2vec_0.20,2,0.13,0.00
SuperBoring,word2vec_0.20,3,0.14,0.14
SuperBoring,word2vec_0.20,4,0.11,0.15
SuperBoring,word2vec_0.20,5,0.05,0.05
SuperBoring,word2vec_0.20,6,0.04,0.03
SuperBoring,word2vec_0.20,7,0.04,0.00
SuperBoring,word2vec_0.20,8,0.04,0.00
SuperBoring,word2vec_0.20,9,0.03,0.00
SuperBoring,word2vec_0.20,10,0.03,0.05
SuperBoring,word2vec_0.20,11,0.02,0.03
SuperBoring,word2vec_0.20,12,0.02,0.05
SuperBoring,word2vec_0.20,13,0.02,0.00
SuperBoring,word2vec_0.20,14,0.02,0.03
SuperBoring,word2vec_0.20,15,0.01,0.02
SuperBoring,word2vec_0.20,16,0.02,0.05
SuperBoring,word2vec_0.20,17,0.02,0.29
SuperBoring,word2vec_0.20,18,0.02,0.00
SuperBoring,word2vec_0.20,19,0.02,0.00
SuperBoring,word2vec_0.20,20,0.02,0.10
SuperBoring,word2vec_0.20,21,0.02,0.02
SuperBoring,word2vec_0.20,22,0.02,0.00
SuperBoring,word2vec_0.20,23,0.02,0.00
SuperBoring,word2vec_0.20,24,0.02,0.00
SuperBoring,word2vec_0.20,25,0.02,0.00
SuperBoring,word2vec_0.20,26,0.02,0.00
SuperBoring,word2vec_0.20,27,0.02,0.00
SuperBoring,word2vec_0.20,28,0.02,0.09
SuperBoring,word2vec_0.20,29,0.02,0.11
SuperBoring,word2vec_0.20,30,0.02,0.00
SuperBoring,word2vec_0.20,31,0.02,0.00
SuperBoring,word2vec_0.20,32,0.02,0.00
SuperBoring,word2vec_0.20,33,0.02,0.00
SuperBoring,word2vec_0.20,34,0.02,0.06
SuperBoring,word2vec_0.20,35,0.02,0.02
SuperBoring,word2vec_0.20,36,0.02,0.00
SuperBoring,word2vec_0.20,37,0.02,0.00
SuperBoring,word2vec_0.20,38,0.02,0.00
SuperBoring,word2vec_0.20,39,0.02,0.00
SuperBoring,word2vec_0.20,40,0.02,0.00
SuperBoring,word2vec_0.20,41,0.02,0.05
SuperBoring,word2vec_0.20,42,0.02,0.00
SuperBoring,word2vec_0.20,43,0.02,0.00
SuperBoring,word2vec_0.20,44,0.02,0.00
SuperBoring,word2vec_0.20,45,0.02,0.00
SuperBoring,word2vec_0.40,1,0.27,0.55
SuperBoring,word2vec_0.40,2,0.20,0.25
SuperBoring,word2vec_0.40,3,0.18,0.14
SuperBoring,word2vec_0.40,4,0.17,0.31
SuperBoring,word2vec_0.40,5,0.10,0.19
SuperBoring,word2vec_0.40,6,0.13,0.24
SuperBoring,word2vec_0.40,7,0.11,0.00
SuperBoring,word2vec_0.40,8,0.10,0.00
SuperBoring,word2vec_0.40,9,0.10,0.14
SuperBoring,word2vec_0.40,10,0.09,0.15
SuperBoring,word2vec_0.40,11,0.07,0.10
SuperBoring,word2vec_0.40,12,0.06,0.10
SuperBoring,word2vec_0.40,13,0.06,0.20
SuperBoring,word2vec_0.40,14,0.06,0.09
SuperBoring,word2vec_0.40,15,0.06,0.15
SuperBoring,word2vec_0.40,16,0.06,0.09
SuperBoring,word2vec_0.40,17,0.06,0.29
SuperBoring,word2vec_0.40,18,0.06,0.00
SuperBoring,word2vec_0.40,19,0.05,0.00
SuperBoring,word2vec_0.40,20,0.05,0.10
SuperBoring,word2vec_0.40,21,0.05,0.06
SuperBoring,word2vec_0.40,22,0.05,0.15
SuperBoring,word2vec_0.40,23,0.05,0.00
SuperBoring,word2vec_0.40,24,0.05,0.00
SuperBoring,word2vec_0.40,25,0.04,0.00
SuperBoring,word2vec_0.40,26,0.04,0.00
SuperBoring,word2vec_0.40,27,0.04,0.00
SuperBoring,word2vec_0.40,28,0.04,0.04
SuperBoring,word2vec_0.40,29,0.04,0.11
SuperBoring,word2vec_0.40,30,0.04,0.07
SuperBoring,word2vec_0.40,31,0.04,0.00
SuperBoring,word2vec_0.40,32,0.04,0.00
SuperBoring,word2vec_0.40,33,0.04,0.11
SuperBoring,word2vec_0.40,34,0.04,0.06
SuperBoring,word2vec_0.40,35,0.04,0.04
SuperBoring,word2vec_0.40,36,0.04,0.00
SuperBoring,word2vec_0.40,37,0.04,0.00
SuperBoring,word2vec_0.40,38,0.04,0.00
SuperBoring,word2vec_0.40,39,0.04,0.08
SuperBoring,word2vec_0.40,40,0.04,0.00
