,corr_true,dataset,decline_slope,exp_slope,method,run,threshold
26,0.665676813535,0W0GZS18IR,-5.0259103626,-0.155648341878,word2vec,word2vec_0.40,0.40
27,0.730298732641,0W0GZS18IR,-1.902661066,-0.0325188630549,word2vec,word2vec_0.50,0.50
28,0.922631225842,0W0GZS18IR,-4.841036415,-0.0520381529369,word2vec,word2vec_0.60,0.60
29,0.981038085084,0W0GZS18IR,-6.960317461,-0.0517799328566,word2vec,word2vec_0.70,0.70
30,0.990204519696,0W0GZS18IR,-7.645658264,-0.050275864185,word2vec,word2vec_0.80,0.80
31,0.988120759616,0W0GZS18IR,-6.950980393,-0.0450647493266,word2vec,word2vec_0.90,0.90
32,0.535131525039,0WBTH5BSPO,0.0435984193143,0.00569070754211,word2vec,word2vec_0.20,0.20
33,0.413115544259,0WBTH5BSPO,0.0442053928714,0.00923835573602,word2vec,word2vec_0.30,0.30
34,0.534199667311,0WBTH5BSPO,-0.916863989571,-0.0136949301901,word2vec,word2vec_0.40,0.40
35,0.557034195255,0WBTH5BSPO,-1.35261829957,-0.0152482870437,word2vec,word2vec_0.50,0.50
36,0.398928646517,0WBTH5BSPO,-1.40933264268,-0.0113402210365,word2vec,word2vec_0.60,0.60
37,0.313491309847,0WBTH5BSPO,-0.686059049393,-0.00457706383438,word2vec,word2vec_0.70,0.70
38,0.368936866871,0WBTH5BSPO,-0.840272220429,-0.00490677750195,word2vec,word2vec_0.80,0.80
39,0.407498935203,0WBTH5BSPO,-0.602700216571,-0.00345444579309,word2vec,word2vec_0.90,0.90
40,0.92249730817,1RAHK5RD6A,-4.15995768983,,word2vec,word2vec_0.20,0.20
41,0.862306671761,1RAHK5RD6A,-7.37336428711,-0.193875527118,word2vec,word2vec_0.30,0.30
42,0.947615120419,1RAHK5RD6A,-12.0158868409,-0.128925540341,word2vec,word2vec_0.40,0.40
43,0.745908684363,1RAHK5RD6A,-9.92732117257,-0.0772825388483,word2vec,word2vec_0.50,0.50
44,0.85435107202,1RAHK5RD6A,-3.44412734314,-0.0167175579308,word2vec,word2vec_0.60,0.60
45,0.941019058291,1RAHK5RD6A,-3.74527129057,-0.0177255714574,word2vec,word2vec_0.70,0.70
46,0.941019058291,1RAHK5RD6A,-3.74527129057,-0.0177255714574,word2vec,word2vec_0.80,0.80
47,0.941019058291,1RAHK5RD6A,-3.74527129057,-0.0177255714574,word2vec,word2vec_0.90,0.90
