dataset,method,timeSlice,GT_predict,TRUE
SuperBoring,word2vec_0.60,17,0.212,0.286
SuperBoring,word2vec_0.60,18,0.210,0.273
SuperBoring,word2vec_0.60,19,0.210,0.273
SuperBoring,word2vec_0.60,20,0.210,0.200
SuperBoring,word2vec_0.60,21,0.194,0.212
SuperBoring,word2vec_0.60,22,0.189,0.077
SuperBoring,word2vec_0.60,23,0.188,0.111
SuperBoring,word2vec_0.60,24,0.180,0.162
SuperBoring,word2vec_0.60,25,0.175,0.077
SuperBoring,word2vec_0.60,26,0.171,0.000
SuperBoring,word2vec_0.60,27,0.169,0.111
SuperBoring,word2vec_0.60,28,0.168,0.174
SuperBoring,word2vec_0.60,29,0.165,0.105
SuperBoring,word2vec_0.60,30,0.166,0.214
SuperBoring,word2vec_0.60,31,0.163,0.111
SuperBoring,word2vec_0.60,32,0.160,0.000
SuperBoring,word2vec_0.60,33,0.158,0.111
SuperBoring,word2vec_0.60,34,0.159,0.250
SuperBoring,word2vec_0.60,35,0.159,0.239
SuperBoring,word2vec_0.60,36,0.158,0.000
SuperBoring,word2vec_0.60,37,0.157,0.000
SuperBoring,word2vec_0.60,38,0.156,0.000
SuperBoring,word2vec_0.60,39,0.155,0.167
SuperBoring,word2vec_0.60,40,0.153,0.091
SuperBoring,word2vec_0.60,41,0.151,0.053
SuperBoring,word2vec_0.60,42,0.151,0.125
SuperBoring,word2vec_0.60,43,0.149,0.100
SuperBoring,word2vec_0.60,44,0.149,0.100
SuperBoring,word2vec_0.60,45,0.148,0.000
SuperBoring,word2vec_0.70,1,1.000,1.000
SuperBoring,word2vec_0.70,2,0.867,0.750
SuperBoring,word2vec_0.70,3,0.727,0.714
SuperBoring,word2vec_0.70,4,0.714,0.846
SuperBoring,word2vec_0.70,5,0.550,0.703
SuperBoring,word2vec_0.70,6,0.521,0.606
SuperBoring,word2vec_0.70,7,0.503,0.556
SuperBoring,word2vec_0.70,8,0.482,0.538
SuperBoring,word2vec_0.70,9,0.478,0.571
SuperBoring,word2vec_0.70,10,0.455,0.350
SuperBoring,word2vec_0.70,11,0.394,0.473
SuperBoring,word2vec_0.70,12,0.384,0.462
SuperBoring,word2vec_0.70,13,0.370,0.300
SuperBoring,word2vec_0.70,14,0.361,0.462
SuperBoring,word2vec_0.70,15,0.347,0.377
SuperBoring,word2vec_0.70,16,0.311,0.386
