dataset,method,timeSlice,GT_predict,true
Boring,word2vec_0.80,7,59.8484848485%,36.3636363636%
Boring,word2vec_0.80,8,58.2191780822%,50.0%
Boring,word2vec_0.80,9,52.1472392638%,35.2941176471%
Boring,word2vec_0.80,10,51.9774011299%,57.1428571429%
Boring,word2vec_0.80,11,50.5376344086%,33.3333333333%
Boring,word2vec_0.80,12,50.2564102564%,66.6666666667%
Boring,word2vec_0.80,13,47.2972972973%,44.4444444444%
Boring,word2vec_0.80,14,43.829787234%,15.3846153846%
Boring,word2vec_0.80,15,41.8699186992%,9.09090909091%
Boring,word2vec_0.80,16,41.568627451%,44.4444444444%
Boring,word2vec_0.80,17,40.0%,0.0%
Boring,word2vec_0.90,1,100.0%,100.0%
Boring,word2vec_0.90,2,90.4761904762%,87.5%
Boring,word2vec_0.90,3,69.0909090909%,76.4705882353%
Boring,word2vec_0.90,4,69.6202531646%,83.3333333333%
Boring,word2vec_0.90,5,64.0776699029%,66.6666666667%
Boring,word2vec_0.90,6,65.2892561983%,83.3333333333%
Boring,word2vec_0.90,7,59.8484848485%,36.3636363636%
Boring,word2vec_0.90,8,58.2191780822%,50.0%
Boring,word2vec_0.90,9,53.3742331288%,41.1764705882%
Boring,word2vec_0.90,10,53.1073446328%,57.1428571429%
Boring,word2vec_0.90,11,51.6129032258%,33.3333333333%
Boring,word2vec_0.90,12,51.2820512821%,66.6666666667%
Boring,word2vec_0.90,13,48.1981981982%,44.4444444444%
Boring,word2vec_0.90,14,44.2553191489%,15.3846153846%
Boring,word2vec_0.90,15,41.8699186992%,9.09090909091%
Boring,word2vec_0.90,16,41.568627451%,44.4444444444%
Boring,word2vec_0.90,17,40.0%,0.0%
Normal,word2vec_0.20,1,30.7692307692%,46.1538461538%
Normal,word2vec_0.20,2,19.0476190476%,0.0%
Normal,word2vec_0.20,3,3.63636363636%,8.82352941176%
Normal,word2vec_0.20,4,2.53164556962%,4.16666666667%
Normal,word2vec_0.20,5,3.88349514563%,12.5%
Normal,word2vec_0.20,6,3.53982300885%,0.0%
Normal,word2vec_0.20,7,3.22580645161%,0.0%
Normal,word2vec_0.20,8,2.85714285714%,0.0%
Normal,word2vec_0.20,9,3.79746835443%,11.1111111111%
Normal,word2vec_0.20,10,4.73372781065%,18.1818181818%
Normal,word2vec_0.20,11,4.49438202247%,0.0%
Normal,word2vec_0.20,12,3.20855614973%,0.0%
Normal,word2vec_0.20,13,4.62962962963%,13.7931034483%
Normal,word2vec_0.20,14,4.40528634361%,0.0%
Normal,word2vec_0.20,15,3.81355932203%,0.0%
Normal,word2vec_0.20,16,4.03225806452%,8.33333333333%
Normal,word2vec_0.20,17,3.84615384615%,0.0%
Normal,word2vec_0.30,1,46.1538461538%,61.5384615385%
Normal,word2vec_0.30,2,23.8095238095%,0.0%
Normal,word2vec_0.30,3,3.63636363636%,14.7058823529%
Normal,word2vec_0.30,4,5.06329113924%,12.5%
Normal,word2vec_0.30,5,5.82524271845%,12.5%
Normal,word2vec_0.30,6,5.30973451327%,0.0%
Normal,word2vec_0.30,7,4.83870967742%,0.0%
Normal,word2vec_0.30,8,3.57142857143%,0.0%
Normal,word2vec_0.30,9,3.79746835443%,5.55555555556%
Normal,word2vec_0.30,10,4.73372781065%,18.1818181818%
Normal,word2vec_0.30,11,4.49438202247%,0.0%
Normal,word2vec_0.30,12,4.27807486631%,11.1111111111%
Normal,word2vec_0.30,13,5.55555555556%,17.2413793103%
Normal,word2vec_0.30,14,5.28634361233%,0.0%
Normal,word2vec_0.30,15,4.66101694915%,0.0%
Normal,word2vec_0.30,16,4.43548387097%,8.33333333333%
Normal,word2vec_0.30,17,4.23076923077%,0.0%
Normal,word2vec_0.40,1,61.5384615385%,76.9230769231%
Normal,word2vec_0.40,2,38.0952380952%,12.5%
Normal,word2vec_0.40,3,18.1818181818%,23.5294117647%
Normal,word2vec_0.40,4,17.7215189873%,33.3333333333%
Normal,word2vec_0.40,5,18.4466019417%,29.1666666667%
Normal,word2vec_0.40,6,15.9292035398%,0.0%
Normal,word2vec_0.40,7,15.3225806452%,9.09090909091%
Normal,word2vec_0.40,8,12.1428571429%,0.0%
Normal,word2vec_0.40,9,10.1265822785%,11.1111111111%
Normal,word2vec_0.40,10,10.650887574%,18.1818181818%
Normal,word2vec_0.40,11,10.1123595506%,0.0%
Normal,word2vec_0.40,12,9.6256684492%,22.2222222222%
Normal,word2vec_0.40,13,10.6481481481%,20.6896551724%
Normal,word2vec_0.40,14,10.1321585903%,0.0%
Normal,word2vec_0.40,15,9.32203389831%,0.0%
Normal,word2vec_0.40,16,8.87096774194%,8.33333333333%
Normal,word2vec_0.40,17,8.46153846154%,8.33333333333%
