cP5kxrPvjmG4pMFqz,"Videography showcase: The cloth may be used by videographers to display their reel on the go in an exciting way for prospective clients. Clients are used to traditional displays, so when coupled with a display like this, it presents a novel approach.",A1FHS282JP487T,1462243674330,visualArts,100,artist
MKcB7NKa2hjsY27Qm,Let people submit a request for a picture or photo on the fabric,AFXE92S04IYHY,1463639092810,visualArts,100,artist
EMka9j43v4Bgixi7A,As clothing which the artist can change the appearance of,A2C7VUFGB8WGCG,1462297070180,visualArts,100,changing clothes
hErYTMwsWShDp6JXy,good for young children to develop 5 senses,A28N4YR1LYTKOC,1462791931800,visualArts,100,children
uPr9tm6rvMZtJP8me,good for kids with autism who are more visual learner,A28N4YR1LYTKOC,1462791952880,visualArts,100,children learning
zPJ72T62xvuYGsLAy,"Use it in a clothing store to display ways to mix and match clothing and accessories, have it alternate different outfits every so often.",A6SP6FP8I5VTI,1463631948530,visualArts,100,clothes
fDxkJpa4CkNQnsbHM,unigue clothing,AUKUYL50PIUMC,1463632662820,visualArts,100,clothes
cyBbHrKdmuEWYkpSP,wedding dresses,AUKUYL50PIUMC,1463632756290,visualArts,100,clothes
W3vzCrshWCNWewurK,for curtain designers,A28N4YR1LYTKOC,1462792055110,visualArts,100,designer
e7XzSdMQW3kwDxSnp,good for clothing designers because they can display their ideas instantly,A28N4YR1LYTKOC,1462792001300,visualArts,100,designer
nCD9XbKEgjtFqKsg4,good for people who want to design tshirts,A28N4YR1LYTKOC,1462791972000,visualArts,100,designer
MjYN6JtBGLvbyn28R,You could use it inthe class room on a tshirt that shows the anatomy of the human body.,A3LNCW69ZHDP6O,1462294211330,visualArts,100,education
7PbDhoeKdJKvikkRJ,"Use it at a school to keep student's attention in art class, or any class.",A6SP6FP8I5VTI,1463631973850,visualArts,100,education
PnSY9tKtZRNcP8YcY,Show different images depending on who is walking by,AQAXDL1INQC9Q,1462303918720,visualArts,100,image
XQvN4bARg478f4AGf,Tailor an image to certain demographics,AQAXDL1INQC9Q,1462303931400,visualArts,100,image
NfEW4js22BNoTmvkf,For use as an interactive art platform,A129B5FAMFJNAT,1463633563290,visualArts,100,interactive art
ZaEavC5pchiomBb6W,"Have a way for their to be a program where the artists can literally create a ""drawing"" on their fabric",AFXE92S04IYHY,1463638934320,visualArts,100,interactive art
sxoCwqmZ6FRvGm24i,I think creating wallpaper especially for apartments which could change into various landscapes would be very popular with people in an urban environment living in small spaces who may not get to see nature much and feel confined. It would also be popular with parents when decorating young children's rooms I would think as it would be stimulating to them for there to be changing scenery.,A2C7VUFGB8WGCG,1462297598740,visualArts,100,interior design
FdADAX8xLqCKmjaen,"Use in a museum or art gallery to show what is there, and to direct people where to see it, would be a great introduction.",A6SP6FP8I5VTI,1463632062270,visualArts,100,map
aymgd8TyTXoxQBJ9r,Use in outdoor events to display works that are available at different booths,A8SD5DJ3KBLLR,1462287235080,visualArts,100,map
ZfufgpEgCkDB6sajq,interactive maps,AUKUYL50PIUMC,1463632783140,visualArts,100,map
Jwa3k6G9TxMNJcYSr,Show places you want to go,AYSG3J2U3UF1Y,1462799112960,visualArts,100,map
uvnA9kfzh8Stxmh4R,Show an image in changing colors to affect mood,AQAXDL1INQC9Q,1462303951660,visualArts,100,mood
tha25TAM5cfpbvw3F,For use as a movie screen,A129B5FAMFJNAT,1463633577060,visualArts,100,screen
9QrysEWoLdrshEHjm,Have a video be played showing them being filmed while re - creating one of their works,AFXE92S04IYHY,1463639031990,visualArts,100,screen
yrxNeDeen2YZMCFA2,To wrap cars and trucks,A2C7VUFGB8WGCG,1462297126060,visualArts,100,wrap
