dataset,method,timeSlice,GT_predict,new_TRUE
0PC95RO1CF,word2vec_0.90,3,87.09677419,88.88888889
0PC95RO1CF,word2vec_0.90,4,83.78378378,83.33333333
0PC95RO1CF,word2vec_0.90,5,76.59574468,70
0PC95RO1CF,word2vec_0.90,6,71.66666667,76.92307692
0PC95RO1CF,word2vec_0.90,7,69.01408451,72.72727273
0PC95RO1CF,word2vec_0.90,8,68.75,77.77777778
0PC95RO1CF,word2vec_0.90,9,66.66666667,70
0RV9UR7SRB,word2vec_0.20,1,14.28571429,42.85714286
0RV9UR7SRB,word2vec_0.20,2,9.090909091,0
0RV9UR7SRB,word2vec_0.20,3,6.25,0
0RV9UR7SRB,word2vec_0.20,4,0,0
0RV9UR7SRB,word2vec_0.20,5,0,0
0RV9UR7SRB,word2vec_0.20,6,6.666666667,40
0RV9UR7SRB,word2vec_0.20,7,6.25,0
0RV9UR7SRB,word2vec_0.20,8,5.405405405,0
0RV9UR7SRB,word2vec_0.30,1,14.28571429,42.85714286
0RV9UR7SRB,word2vec_0.30,2,18.18181818,25
0RV9UR7SRB,word2vec_0.30,3,18.75,20
0RV9UR7SRB,word2vec_0.30,4,19.04761905,20
0RV9UR7SRB,word2vec_0.30,5,12,0
0RV9UR7SRB,word2vec_0.30,6,20,60
0RV9UR7SRB,word2vec_0.30,7,18.75,0
0RV9UR7SRB,word2vec_0.30,8,13.51351351,0
0RV9UR7SRB,word2vec_0.40,1,14.28571429,42.85714286
0RV9UR7SRB,word2vec_0.40,2,27.27272727,50
0RV9UR7SRB,word2vec_0.40,3,25,20
0RV9UR7SRB,word2vec_0.40,4,33.33333333,60
0RV9UR7SRB,word2vec_0.40,5,24,0
0RV9UR7SRB,word2vec_0.40,6,30,60
0RV9UR7SRB,word2vec_0.40,7,31.25,50
0RV9UR7SRB,word2vec_0.40,8,24.32432432,0
0RV9UR7SRB,word2vec_0.50,1,42.85714286,71.42857143
0RV9UR7SRB,word2vec_0.50,2,27.27272727,25
0RV9UR7SRB,word2vec_0.50,3,31.25,40
0RV9UR7SRB,word2vec_0.50,4,42.85714286,80
0RV9UR7SRB,word2vec_0.50,5,40,25
0RV9UR7SRB,word2vec_0.50,6,46.66666667,80
0RV9UR7SRB,word2vec_0.50,7,46.875,50
0RV9UR7SRB,word2vec_0.50,8,45.94594595,40
0RV9UR7SRB,word2vec_0.60,1,71.42857143,85.71428571
0RV9UR7SRB,word2vec_0.60,2,72.72727273,75
0RV9UR7SRB,word2vec_0.60,3,62.5,60
0RV9UR7SRB,word2vec_0.60,4,66.66666667,80
0RV9UR7SRB,word2vec_0.60,5,60,50
0RV9UR7SRB,word2vec_0.60,6,63.33333333,80
0RV9UR7SRB,word2vec_0.60,7,62.5,50
0RV9UR7SRB,word2vec_0.60,8,64.86486486,80
0RV9UR7SRB,word2vec_0.70,1,71.42857143,85.71428571
0RV9UR7SRB,word2vec_0.70,2,72.72727273,75
0RV9UR7SRB,word2vec_0.70,3,75,80
0RV9UR7SRB,word2vec_0.70,4,76.19047619,80
0RV9UR7SRB,word2vec_0.70,5,76,75
0RV9UR7SRB,word2vec_0.70,6,76.66666667,80
0RV9UR7SRB,word2vec_0.70,7,75,50
0RV9UR7SRB,word2vec_0.70,8,75.67567568,80
0RV9UR7SRB,word2vec_0.80,1,71.42857143,85.71428571
0RV9UR7SRB,word2vec_0.80,2,72.72727273,75
0RV9UR7SRB,word2vec_0.80,3,75,80
0RV9UR7SRB,word2vec_0.80,4,76.19047619,80
0RV9UR7SRB,word2vec_0.80,5,76,75
0RV9UR7SRB,word2vec_0.80,6,76.66666667,80
0RV9UR7SRB,word2vec_0.80,7,75,50
0RV9UR7SRB,word2vec_0.80,8,75.67567568,80
0RV9UR7SRB,word2vec_0.90,1,71.42857143,85.71428571
0RV9UR7SRB,word2vec_0.90,2,72.72727273,75
0RV9UR7SRB,word2vec_0.90,3,75,80
0RV9UR7SRB,word2vec_0.90,4,76.19047619,80
0RV9UR7SRB,word2vec_0.90,5,76,75
0RV9UR7SRB,word2vec_0.90,6,76.66666667,80
0RV9UR7SRB,word2vec_0.90,7,75,50
0RV9UR7SRB,word2vec_0.90,8,75.67567568,80
0W0GZS18IR,word2vec_0.20,1,1.960784314,9.803921569
0W0GZS18IR,word2vec_0.20,2,1.388888889,4.761904762
0W0GZS18IR,word2vec_0.20,3,0.952380952,6.060606061
0W0GZS18IR,word2vec_0.20,4,0.840336134,0
0W0GZS18IR,word2vec_0.30,1,7.843137255,19.60784314
0W0GZS18IR,word2vec_0.30,2,6.944444444,9.523809524
0W0GZS18IR,word2vec_0.30,3,4.761904762,9.090909091
0W0GZS18IR,word2vec_0.30,4,3.361344538,7.142857143
0W0GZS18IR,word2vec_0.40,1,23.52941176,37.25490196
0W0GZS18IR,word2vec_0.40,2,12.5,9.523809524
0W0GZS18IR,word2vec_0.40,3,7.619047619,9.090909091
0W0GZS18IR,word2vec_0.40,4,8.403361345,28.57142857
0W0GZS18IR,word2vec_0.50,1,27.45098039,47.05882353
0W0GZS18IR,word2vec_0.50,2,29.16666667,42.85714286
0W0GZS18IR,word2vec_0.50,3,21.9047619,27.27272727
0W0GZS18IR,word2vec_0.50,4,23.52941176,42.85714286
0W0GZS18IR,word2vec_0.60,1,47.05882353,68.62745098
0W0GZS18IR,word2vec_0.60,2,45.83333333,57.14285714
0W0GZS18IR,word2vec_0.60,3,35.23809524,48.48484848
0W0GZS18IR,word2vec_0.60,4,34.45378151,42.85714286
0W0GZS18IR,word2vec_0.70,1,68.62745098,84.31372549
0W0GZS18IR,word2vec_0.70,2,63.88888889,71.42857143
0W0GZS18IR,word2vec_0.70,3,51.42857143,57.57575758
0W0GZS18IR,word2vec_0.70,4,49.57983193,50
0W0GZS18IR,word2vec_0.80,1,76.47058824,88.23529412
0W0GZS18IR,word2vec_0.80,2,75,80.95238095
0W0GZS18IR,word2vec_0.80,3,59.04761905,60.60606061
0W0GZS18IR,word2vec_0.80,4,56.30252101,57.14285714
0W0GZS18IR,word2vec_0.90,1,76.47058824,88.23529412
0W0GZS18IR,word2vec_0.90,2,75,80.95238095
0W0GZS18IR,word2vec_0.90,3,60.95238095,63.63636364
0W0GZS18IR,word2vec_0.90,4,57.98319328,57.14285714
0WBTH5BSPO,word2vec_0.20,1,5.263157895,21.05263158
0WBTH5BSPO,word2vec_0.20,2,3.225806452,8.333333333
0WBTH5BSPO,word2vec_0.20,3,2.631578947,0
0WBTH5BSPO,word2vec_0.20,4,4.761904762,25
0WBTH5BSPO,word2vec_0.20,5,4.255319149,40
0WBTH5BSPO,word2vec_0.20,6,3.921568627,0
0WBTH5BSPO,word2vec_0.20,7,3.389830508,0
0WBTH5BSPO,word2vec_0.20,8,1.587301587,0
0WBTH5BSPO,word2vec_0.20,9,4.347826087,33.33333333
0WBTH5BSPO,word2vec_0.20,10,4.166666667,0
0WBTH5BSPO,word2vec_0.20,11,3.947368421,0
0WBTH5BSPO,word2vec_0.20,12,4.938271605,20
0WBTH5BSPO,word2vec_0.20,13,4.255319149,0
0WBTH5BSPO,word2vec_0.20,14,4.12371134,0
0WBTH5BSPO,word2vec_0.20,15,4.901960784,20
0WBTH5BSPO,word2vec_0.30,1,15.78947368,36.84210526
0WBTH5BSPO,word2vec_0.30,2,3.225806452,8.333333333
0WBTH5BSPO,word2vec_0.30,3,5.263157895,14.28571429
0WBTH5BSPO,word2vec_0.30,4,7.142857143,25
0WBTH5BSPO,word2vec_0.30,5,12.76595745,60
0WBTH5BSPO,word2vec_0.30,6,11.76470588,0
0WBTH5BSPO,word2vec_0.30,7,8.474576271,0
0WBTH5BSPO,word2vec_0.30,8,6.349206349,0
0WBTH5BSPO,word2vec_0.30,9,8.695652174,50
0WBTH5BSPO,word2vec_0.30,10,9.722222222,33.33333333
0WBTH5BSPO,word2vec_0.30,11,9.210526316,0
0WBTH5BSPO,word2vec_0.30,12,9.87654321,20
0WBTH5BSPO,word2vec_0.30,13,9.574468085,7.692307692
0WBTH5BSPO,word2vec_0.30,14,9.278350515,0
0WBTH5BSPO,word2vec_0.30,15,9.803921569,20
0WBTH5BSPO,word2vec_0.40,1,31.57894737,47.36842105
0WBTH5BSPO,word2vec_0.40,2,35.48387097,41.66666667
0WBTH5BSPO,word2vec_0.40,3,34.21052632,28.57142857
0WBTH5BSPO,word2vec_0.40,4,30.95238095,25
0WBTH5BSPO,word2vec_0.40,5,38.29787234,100
0WBTH5BSPO,word2vec_0.40,6,35.29411765,0
0WBTH5BSPO,word2vec_0.40,7,32.20338983,25
0WBTH5BSPO,word2vec_0.40,8,30.15873016,25
0WBTH5BSPO,word2vec_0.40,9,28.98550725,33.33333333
0WBTH5BSPO,word2vec_0.40,10,26.38888889,33.33333333
0WBTH5BSPO,word2vec_0.40,11,25,0
0WBTH5BSPO,word2vec_0.40,12,25.92592593,40
0WBTH5BSPO,word2vec_0.40,13,24.46808511,23.07692308
0WBTH5BSPO,word2vec_0.40,14,23.71134021,0
0WBTH5BSPO,word2vec_0.40,15,23.52941176,20
0WBTH5BSPO,word2vec_0.50,1,52.63157895,68.42105263
0WBTH5BSPO,word2vec_0.50,2,45.16129032,50
0WBTH5BSPO,word2vec_0.50,3,39.47368421,28.57142857
0WBTH5BSPO,word2vec_0.50,4,40.47619048,50
0WBTH5BSPO,word2vec_0.50,5,46.80851064,100
0WBTH5BSPO,word2vec_0.50,6,43.1372549,0
0WBTH5BSPO,word2vec_0.50,7,37.28813559,25
0WBTH5BSPO,word2vec_0.50,8,38.0952381,50
0WBTH5BSPO,word2vec_0.50,9,36.23188406,50
0WBTH5BSPO,word2vec_0.50,10,33.33333333,33.33333333
0WBTH5BSPO,word2vec_0.50,11,31.57894737,0
0WBTH5BSPO,word2vec_0.50,12,32.09876543,40
0WBTH5BSPO,word2vec_0.50,13,31.91489362,38.46153846
0WBTH5BSPO,word2vec_0.50,14,30.92783505,33.33333333
0WBTH5BSPO,word2vec_0.50,15,30.39215686,20
0WBTH5BSPO,word2vec_0.60,1,73.68421053,84.21052632
0WBTH5BSPO,word2vec_0.60,2,61.29032258,66.66666667
0WBTH5BSPO,word2vec_0.60,3,50,28.57142857
0WBTH5BSPO,word2vec_0.60,4,50,50
0WBTH5BSPO,word2vec_0.60,5,55.31914894,100
0WBTH5BSPO,word2vec_0.60,6,50.98039216,25
0WBTH5BSPO,word2vec_0.60,7,50.84745763,62.5
0WBTH5BSPO,word2vec_0.60,8,50.79365079,50
0WBTH5BSPO,word2vec_0.60,9,49.27536232,66.66666667
0WBTH5BSPO,word2vec_0.60,10,48.61111111,66.66666667
0WBTH5BSPO,word2vec_0.60,11,43.42105263,0
0WBTH5BSPO,word2vec_0.60,12,45.67901235,80
0WBTH5BSPO,word2vec_0.60,13,44.68085106,61.53846154
0WBTH5BSPO,word2vec_0.60,14,44.32989691,66.66666667
0WBTH5BSPO,word2vec_0.60,15,44.11764706,60
0WBTH5BSPO,word2vec_0.70,1,73.68421053,84.21052632
0WBTH5BSPO,word2vec_0.70,2,64.51612903,75
0WBTH5BSPO,word2vec_0.70,3,63.15789474,71.42857143
0WBTH5BSPO,word2vec_0.70,4,66.66666667,100
0WBTH5BSPO,word2vec_0.70,5,70.21276596,100
0WBTH5BSPO,word2vec_0.70,6,66.66666667,50
0WBTH5BSPO,word2vec_0.70,7,64.40677966,62.5
0WBTH5BSPO,word2vec_0.70,8,63.49206349,50
0WBTH5BSPO,word2vec_0.70,9,63.76811594,83.33333333
0WBTH5BSPO,word2vec_0.70,10,62.5,66.66666667
0WBTH5BSPO,word2vec_0.70,11,59.21052632,25
